,doc_id,review_text,total_sentiment
10020,10021,"[[VIDEOID:moH9TNGHOUVMA]]I wanted to show my girl setting thi up right out of the box so everyone can see what we did (though she looks cuter than me so she is the star!) you can hear the sound and check it out in full. I dig this amp- i think it could be easily used for a pro setup in a bar for karaoke where u don't want a dedicated system but are just adding somethng it. Nice mics, cool looking and super bright screen. For my money it would be hard to beat for functionality. It's been a few weeks using it now and so far we are super pleased.",17.0
10021,10022,"I love this bag. Lots of room, and looks great. It really needs more pockets. There's only one side pocket and a place for sunglasses. But the main problem is it stinks. I know it's the leather, but maybe it's the quality of the leather because the smell hasn't toned down in the 6 weeks that I've had it.",18.0
10022,10023,My hubby is in love with the case that these comes in. He's been playing guitar for over 30 years and says these are really good quality. They have all sizes covered and have nice designs on them. You push the top down to open and push sides together to close on the case. Awesome quality product!,19.0
10023,10024,This watch is so gorgeous! The pictures do not do it justice. When it came I was amazed at the quality for under $50. The crystals on the face look like huge diamonds and are so sparkly. This won't be my last Wristology watch!,15.0
10024,10025,"I've tried a couple of other IPAD ""purses"" that ended up so heavy I couldn't carry them on my shoulder. This one is light enough to put the IPAD in, and a few necessities, and not be uncomfortable.",4.0
10025,10026,"Accessories are my guilty pleasure and I have some very expensive pieces, as well as some very inexpensive pieces.  As soon as I saw this particular piece, I had to have it for work.  I generally use my inexpensive pieces for work, as I am a teacher and it is amazing how quickly clothing and bracelets/watches can get damaged in the classroom.The watch arrived promptly, before the estimated shipping date, and was packaged really well.  Upon opening the package, I was surprised by the lovely quality of the watch - especially at the excellent price.  It was a lovely, matt gold colour and quite decently weighty.  The diamonds just add a nice touch of glamour.  In fact, I have had lots of compliments about this watch from friends who have thought it was a more expensive brand.My only criticism would be the size of the strap - it is huge!  Although, it is quite easy to take a couple of links out - so it is not a huge criticism.Overall, I would highly recommend this watch to anybody looking for a fashion piece at a reasonable price.",29.0
10026,10027,They were sent in at a fast timely speed. Thank you so much!!! Bit dark for the mornings but great in the mid day and afternoon.,11.0
10027,10028,"This is an excellent watch at an extremely low price. It's solid and well made, and also very accurate for an automatic watch.",9.0
10028,10029,"These sport laces are of great quality and I have been using it since a long time! Fits perfectly for all types of shoes and does not show any signs of wear and tear. Also, they are tangle free! Best sport laces available in the market!",15.0
10029,10030,FAST DELIVERY! Just Arrived & I Got It Set Up! Easy Assembly. All Hardware was Included. My Yamaha MX-61 Synthesizer fits PERFECT on it. And WOW! With a Mic Boom Stand TOO! YOU CAN'T GO WRONG ON PURCHASING STAND AT THIS PRICE! I Love It! Many Thanks M & M Merchandisers Inc . Great Job! :),40.0
10030,10031,"I have spent hours on this game, such a great balance between races. I hope the next game in the saga works as well, Im looking forward to buying it, too. I wish there was a version for every mac OSX, because I think they're only allowing Mavericks. Excellent game though.",13.0
10031,10032,"This bag is AMAZING!!! This is a perfect gift for men! Love it.High quality leather and the color is great. I bought it as a gift for a friend, who absolutely loves it. The cross-body style keeps it out of his way, unlike a traditional backpack using one strap. Super stylish and masculine. Very highly recommended.",25.0
10032,10033,"Very nice looking slippers, as you can see they look like shoes. Loo even better in person than what they do online. Love Love these slippers. My feet really appreciate them as well!",13.0
10033,10034,"This is an FPS that people will love for the sole reason that it is an FPS. There's some backstory of course and the single player is pretty solid, but it's the multiplayer you want! There are so many options and play styles that you are not going to run out of things to have fun with!",10.0
10034,10035,This is a great bag have used it 3 times since I got the delivery so far it remain strong. The bag is easy to clean just a duster and you are good to go. It is actually a Lightweight travel bag very good for short travels. My hubby used it every weekend when going to the gym. He used it more even though I bought it for my own use. I plan to buy another color to make the collection 2.VOCHIC did a nice job on this bag and I must confess this bag is one of the best lightweight bags have used so far.,25.0
10035,10036,"My son loves watches and he loves to hang out at the swimming pool, apparently it is where the girls also hang out. As such, he needed a water proof watch that was also, as he puts it, cool. So, this digital watch was ideal and it is water resistant to 99 feet, which is more than sufficient for any depth that my son will be swimming to.However, a friend of my husbands is an amateur diver and he has a watch like this one to go scuba diving, so it musts stand up to that level of the sport. It has only basic features such as an alarm and timer but what more does a thirteen year old by need with his watch? It does have a small nightlight so he can read the time when it is dark, hand to remind him what time he needs to be back home for. A great watch for a great price.",21.0
10036,10037,I love having these strings for back up just in case one of mine snaps. I've been using these as my regular strings and they sound incredibly good. It was pretty cheap too so I got no complains here.,10.0
10037,10038,"Super sound quality every time with every one of these microphones.  A better sound then I would have even thought.  They turn on easily enough and set up just as simply as can be.  In fact, with these microphones, I am able to set up so fast that it is astounding, really.",14.0
10038,10039,"Love the lenses on these glasses. I bought them because of the californication show and they are amazing quality blocking out the  phoenix sun. Very good quality and they are not cheap but you get what you paid for, and theese are great quality.",12.0
10039,10040,"I wore this bag out!  It has a great size, i could fit all my essentials in it.  It matched most outfits.  You can't beat the price!  Its truly a practical item.",15.0
10040,10041,"Perfect Shape and Size for my Husband! I bought the non-polarized but the grey lenses are so dark you can't even notice, your eyes are still protected!",7.0
10041,10042,"It took me 10mins overall to apply these screen protectors, but it was well worth my time because they are great and fit like a custom made glove. These 10 long minutes are due to the fact that I abhor dust and air bubbles (so much so that if there is one spec I can see and can't fix I will remove the whole thing and use another one), therefore, I meticulously cleaned both screens, which took the majority of the time. The instructions do seem complicated but if you take the time to look at the pictographs you'll be fine.Basically adhere the protector to your device, grab the protruding end on the right, slowly pull away towards the right, remove air bubbles with the cheap cardboard ""tool"" they give you (or a credit card), peel off the secondary layer and remove any excess bubbles.If you take the time to make sure everything's dust free you won't regret this purchase. And since you only get one shot I wouldn't rush it, not for $9 bucks a pop.",11.0
10043,10044,"Well, The picture looks more classy than it looks with mine. Still I love it and I hope that this item will last long.",7.0
10044,10045,Totally happy! A little beast. Compare the sound to my Peavey audition practice amp but with twice the punch.It's sort of comparing apples to oranges since this is rechargeable and handles voice but it has good electronics and won't clip out if it's pushed hard.,12.0
10045,10046,Looked high and low for an affordable and comfortable boot as I work in education and on my feet all day. Found these and couldn't be happier. They arrived 3 days earlier than expected as well.,8.0
10046,10047,"I'm loving this, so adorable! My daughter is 7 months but her feet seem to be a bit on the small side. These fit her perfectly they do tend to slip off occasionally though. I think these will be perfect for others as well.",14.0
10047,10048,I stumbled upon these on Amazon recently while shopping for luggage tags for men. These are wonderful to put on your luggage while traveling. I picked red as I thought it would stand out on our black luggage. It did just that!!! We used them this week for a plane trip and we *immediately* saw our suitcases when they appeared on the luggage turnstile in our destination city.,15.0
10048,10049,I used different kind of watches from different brands.But I have to say this is the best one I ever had.High quality product.Excellent performance.I love this color.Also it s comfortable in my hand.And the bamboo print Leather Strap is very stylish.You can buy this without any doubt.,4.0
10049,10050,"This was one of the cheaper mics on Amazon. Item was delivered quickly using Prime, and connected it up easily to my PC. Worked first time! Plug it in, wait for the thing to install and then you can use it in Skype. Just be sure to go into settings and select the correct mic, because it might not be set to default.",12.0
10050,10051,"The children are happy, like to draw various shapes in the dark. Excellent play and fun. They do a better job than I thought, I would definitely buy it again.",12.0
10051,10052,You have to love the price reduction of this watch. The item itself seems great but it was the price that really caught my attention.,8.0
10052,10053,"I bought this on my first hiking adventure and I didn't regret it in buying this ""Everest Hiking Pack"". The materials used on this product are very durable. I and my friend can attest on this on the multiple major scratches during our trails but it didn't cut off.  What I love most on this backpack is that with affordable price you can buy it and you have a bag that can fit clothes for days. More adventure to come with my mighty hiking pack!",16.0
10053,10054,Top quality craftsmanship in top quality leather. Is comfortable on the shoulder or in the hand. Sits perfectly upright on metal feet. I have paid 2-3 times this much for similar quality leather bags. Highly recommend.,21.0
10054,10055,"i like hiking,and i like different kind of waist pack,when i choose this funny pack,i think it looks nice and easy to carry.when i got it ,i realized i got what i need,just as description:waterproof and the pocket large enough to hold cellphone and purse,bottle holder also great,perfect to hold my bottle,i love the nice pack",4.0
10055,10056,This was the first game (to my knowledge) that utilized both the left and right analog sticks to move. When you had to row the boat with both sticks...I was blown away. Awesome game.,10.0
10056,10057,This bag is the perfect size for all the stuff I carry on a daily basis. The leather is nice and I love the detachable longer strap. My only complaint is the cell phone pocket on the outside as well as on the inside are too small. Smart phones seem to be getting bigger and I wish they would start making his bags with larger cellphone pockets.,12.0
10057,10058,"It's a nice cable, works well and the length is very good, very happy with the item, it can also charge the phone or tablets, so I use it for that too.",4.0
10058,10059,I got this as a gift from my hubby. I was surprised when I got this because I did not expect anything from him on independence day. He gave this as a peace offering and I really love this pair of shoes. I am fat and I used this shoes everyday. I always exercise 30 minutes in the morning and 30 minutes in the afternoon. Very comfortable to use!,19.0
10059,10060,"First and foremost, install the Linux firmware onto the box.  XBMC on Linux is a much better experience than the android APK.  I was able to install my favorite video add-ons, repositories, programs, and skins with no issues.  1080p video playback is smooth with no stuttering or buffering.  Recommended for those who are looking for a cheap solution to having XBMC in their living room (or any TV).",13.0
10060,10061,"The Playstation is as much as a competitor as it is an innovator. Granted, the console is not drastically different than a mid range gaming PC, but it delivers a standardized experience for a regulated cost.",7.0
10061,10062,this watch was my birthday present from my wife..so great.nice watch. this is a stunningly beautiful watch and no one will guess the price unless you tell them.,15.0
10062,10063,These are great replacement laces for your boots! They are the perfect length and were easy to lace. They feel like they will last a while. The ends are capped very tight. Great product!,19.0
10063,10064,I can not describe how much I love this new watch! You guys know how much I love Kenneth Cole fashions and this is just one perfect example of it. It  is just simply stunning. I have had so many compliments on it already. Happy birthday to me.,16.0
10064,10065,"I'm not a gamer, but my son is and he just loves these headphones. Why not, he can shut me out and really immerse himself in his games. Which may or may not be a good thing. I limit him to an hour a day after he's done his homework and that seems to be working okay.However, gaming isn't all these headphones are about. I use them for listening to my iTunes playlist while I'm writing in the early hours of the morning. The sound is sublime, nice deep bass  and perfect trebles. With these I immerse myself in my music and my writing while my family sleeps. So these headphones get five stars twice, once from me, once from my son.",24.0
10065,10066,This was a great replacement for my original xbox One adapter which blew out 1 week after my warranty expired go figures. It is definitely the same quality if not better than the original which was important. It is definitely a bigger power unit as the fan is slightly bigger than the original it seems. Great buy!,16.0
10066,10067,Bought one for my dad's birthday. I liked it so much I just had to have one myself so I bought two. Both of us love our pocket watches. Why not buy two yourself and give one away to someone you think would like it just as I did.,13.0
