,doc_id,review_text,total_sentiment
5011,5012,doesn't have any scent and mixes well with my dior!  definitely love the extra confidence it gives me and guys totally have been giving me a second look lately when I go out.  It's so much easier to attract attention.,11.0
5012,5013,"I just lost my Samsung 46 inch top of the line when after only 3 years the picture developed a bad screen. Broke my heart but I realized even Samsung gets bad parts now and then. It's a good TV otherwise http://www.amazon.vote/gp/product/B0071NWYP8  I take super care of my electronics as I kept this LCD in new condition right up to its death. Three years? I told the Samsung rep on the phone. He just said it was out of warranty, so long story short I decided against another Samsung.  The vizio rep happened to be there and he pointed out that they re-vamped all the smart apps and told me of the new back-lit 12 panel led zone, which even the 2013 high tech ""M"" series didn't have. After fiddling with the contrast and temp colors I was able to get a fantastic picture.Bought it, brought it home and set it up.Wow! I was pretty impressed to find a $700 TV that can go up against a $1500 TV. And then you toss in a referbished TV for $500 and you've got yourself a deal! http://www.amazon.vote/gp/product/B00SSG0AJO  Vizio also now has a smaller front frame edge measureing 10mm. only 2 mm less than last year but it makes for an almost invisable frame. Another bonus... I had a good experience mounting it with this http://www.amazon.vote/gp/product/B000WYVBR0  I did a solid week of reading reviews and numerous visits to my local stores watching and adjusting several brands before deciding on a 55 inch LG or Vizio as my choices. I hated the new LG's magic remote( works like a mouse on the screen) but I also heard that the Vizio had lame apps on their smart E & the better M series.  Just last week I walked into my local ""S"" club and a guy was setting up the new 2014 E series B-2. He told me they were the first to get them.  Vizio ups the speaker wattage from 10 to 15 watts. Not mindblowing but way improved from the muffled speaker sound that is associated with most down pointed speakers that seems to be standard with most HGTV's. Bottom line I love it. Its good to see a company like Vizio upping their game with internal improvements instead of a cosmetic makeover like a lot of other companies.  Save some cash, get yourself a good as new TV! http://www.amazon.vote/gp/product/B00SSG0AJO",68.0
5013,5014,"The OXO Good Grips 3-in-1 Avocado Slicer, Green works very well as advertised.  It works well with this: http://www.amzn.gift/gp/product/B0088LR592/  The blade easily halves the avocado, making it equal to any sharp knife in the drawer. The pit remover is actually easier to use than a sharp knife - I've always slapped the knife blade into the seed & twisted, but then I have to pull the seed off the blade. I've never felt quite comfortable slamming a knife blade into the seed, or slicing the meat toward my hand -it goes against everything I was taught about cutting toward my skin with a sharp knife.   The Good Grips tool provides a much safer way to prepare avocados. I've owned several avocado slicers which had wire cutters, and the wires always sprung rending the tool useless. The slicing strips of the Good Grips slicer are sturdy plastic, cutting and scooping easily and cleanly through both large and small avocados.   On very ripe, soft avocado meat I've had to help the last little bit through the tool by pushing on the end of the avocado peel, but this is a minor thing. The tool fits comfortably in large or small hands; it certainly speeds up the preparation of avocados and is a clean way to prepare them; and it washes up easily. I'm glad I have it, and I recommend it.  I hope this review was helpful!",39.0
5014,5015,"HAPPY with the flag, to remind me of all the things I should be happy for in my life! I keep this in front of my door to remind others to be HAPPY too!",8.0
5015,5016,"Exactly what i was looking for and love the way it looks, easy set up,  and so far.it's working perfectly! Audio is very clear and connects to the phone right away when i turn on the car. I was able to find a station to sync it to and I haven't had to change the channel, even when driving an hour or to out of town.i also use this device to talk hands-free on my phone and also use it to connect to any Bluetooth-enabled device.  And  even i  use it to charge my phone or player while streaming audio.If you spend a lot of time in your car, if you enjoy quality sound in your car, if you listen to audio books or your favorite music, then this transmitter is a must. I'm really amazed and will continue to use it happily when I travel.Really  overall great product. would recommended to every one",20.0
5016,5017,"Nice and thick serum formula, spreads and absorbs great. I love that this retinol serum is applied at night instead of in the morning since sun avoidance is recommended when doing any retinol treatment. So far it is working wonderfully!",9.0
5017,5018,"cool little device, great price for this  item. It does world really good and simple, very easy to use.",8.0
5018,5019,I wanted a very basic case for my new iPhone 5. I am not rough on phones and didn't want a bulky case.I didn't want a screen protector either because I have not been satisfied with the feel of any I have tried. This case is perfect for me. I was looking to have something easy and good. My iPhone looks very nice. It is so beautifully designed and protect my phone very well. I get a lot of comments on the high resolution print and the vivid color of this case.,25.0
5019,5020,"First of all, if you travel a lot and are looking for a lightweight and simple charger this is definitely the key. Even if you charge a lot of USB devices at home, these are still nice to have in every room.Qicent's Dual USB Wall Charger is a solid charger that plugs directly into the wall. It's a one piece charger and looks great plugged in. There are two ports with each having a different ampage. The top one is rated at 2.4A/5V and is designed for charging tablets and larger devices while the bottom one is rated at 1.5A/5V and is designed for charging smartphones and smaller devices.There is a blue indicator light that lets you know when the charger is plugged in correctly and pulling power. This is nice because sometimes I don't push my chargers in all the way, plus they are easy to see in the dark. Overall, its an excellent charger. This charger only includes the charger, there are no extra cables included. There is also a 24 month warranty that comes with this purchase so you know you are covered if you have any problems.",29.0
5020,5021,"I have been wanting to go to Thailand and Vietnam for a long time, so when these Lonely Planet books, [[ASIN:1741797144 Thailand]] and [[ASIN:1741797152 Vietnam]] became available I had to get them. Lonely Planet really gets into a country in their guides. The don't fill their pages with glossy color photos, though a few would be nice, instead their pages are full of information.They have maps to everywhere you'd want to go in a country. They do the cities justice as well as the countryside. They do the markets and the beaches, the churches and the museums, the bike trails and the footpaths.I believe a trip to Thailand should include a side tour to Vietnam, at least mine is going to, so both books are a necessity to me. The book on Thailand is over 800 pages and its writers write as if they've lived there, as if they really know the country. A different group of writers have written the Vietnam book and that surprised me, because I though some of them would have worked on both books. Nevertheless, though it's 250 pages shorter than the Thailand book, the book on Vietnam is equally as well written.I should say that the print in these books is on the smallish side, but I suppose to make it any larger they'd have to have so many pagers that the books would be unwieldy, especially the Thailand book.I've always looked at Lonely Planet as catering to a different kind of clientele than Frommor's or Fodor's. Those two companies seem to cater more toward the traveler who has more to spend, who will more than likely stay in the more expensive hotels. Sure you'll find the expensive hotels in Lonely Planet as well, but you'll find a myriad of less expensive alternatives. I believe you get more information about a country from Lonely Planet and I'm looking forward to going to Thailand and Vietnam and having Lonely Planet show me the way.",27.0
