,doc_id,review_text,total_sentiment
15104,15105,Great product.  Bought it to put together a few IKEA items i bought along with the 33 piece screw driver set from black and decker (highly recommended as this piece comes only with two bits)  and i could not be more pleased with my choices,6.0
15105,15106,"I wanted this to use to play cards, but it has an open seam in the middle of the table, which will become very annoying when playing cards.  It is very cheaply made, and both the table and chairs wobble.  I do not recommend this table set.",7.0
15107,15108,"Speaker works fine, but the stick on tape used for the grill is poor design as it does not hold properly.",4.0
15108,15109,"The cord works fine and have had no trouble after three months of use, will report if something does come up.",4.0
15109,15110,"This cream feels good, however it does not seems any better than any other. I thought it would hydrate the skin more than it does.",7.0
15110,15111,"I grind this coffee right before I brew it. I've brewed it in a 4 cup Cuisinart, a 10 Cup Bunn, and a single filter right into the cup.... always delicious!",13.0
15111,15112,"I have had many gloves living in the Midwest, but these gloves are the warmest ones by far. The warmth of these gloves actually extends into the fingers where previous gloves have failed. These gloves are definitely feel warm when worn not in cold weather but are great for those cold windy Midwest days.",11.0
15112,15113,Thought I'd try this as I have adult acne and am fighting the timeless take over of age.  Works as it says it will.  Best to watch videos on utube first.  I find it hard to locate the oils needed and no advise on which ones to use were in the instructions.,13.0
15113,15114,"Short Nights of the Shadow Catcher is one of the most interesting books I have read in a long time.  Rarely do you find a biography this well-written. When you finish this book you have to ask yourself: What kind of person works hard to get out of poverty and then becomes so obsessed with a cause that he gives up everything he has worked for, a loving wife and family, a lucrative business, his dignity, and any income at all to follow a cause that he feels only he can accomplish. Author Timothy Egan has given us a great gift in writing this biography.",16.0
15114,15115,"I wish it could go a little higher (i'm 6'1), but not enough to give it a lower score.  I use it as a video editing suite with my laptop and mouse on the bottom table, and my portable drives and an external monitor on the top table.  I love being able to move it around and haven't found anything to complain about aside from the small wish stated at the beginning.",7.0
15115,15116,"The set looks nice.  Its thickness is not 1/2"" as described but only 13/32"".  Less thickness made it less sturdy in the windy weather. I have not set it outside for true testing.",9.0
15116,15117,"Got 3 Garnier Nutritioniste Ultra-lift Intensive w/Retinal + Pro Elastin (newer version) from A & B Wholesale instead of the Garnier Nutritioniste Pro w/Pro-xylane, Vitamin A, Omega 3-6 (older version) which was advertised/pictured which I love. Disappointed & due not want to spend more on shipping back so will try give to family or friends that can tolerate retinal w/out redness inflammation when waking up. When wanting only Garnier Nuritioniste Pro instead of the intentive can be pretty tricky due to they both boxes almost look the same unless you know what your buying or put them next to each other then you will notice the difference. Looks like in the future I need to email/contact seller to make sure it's the one I want just to be safe. =(",12.0
15117,15118,"This is not a Bosch Garden and Watering GT50230 Whirling Sprinkler, it is a TruValue GreenThumb 83002 sprinkler. If you paid more because of the Bosch name, you were taken, as I was.The product is in the packaging pictured, however.Came without the gasket in the hose connection that should keep it from leaking like a sieve.",4.0
15118,15119,"This keyboard, although awesome while working, has a very common problem with its batteries exploding while inside of it and then becoming permanently lodged within the keyboard.  Google ""Apple wireless keyboard exploded batteries"" - this is a very common problem that Apple won't acknowledge.  The response from the genius tech when I brought mine into the apple store today was: ""All batteries are going to explode, just don't lick the acid!"".  So basically I bought a $70 keyboard that Apple fully expects to be dead fairly soon after the warranty expires.If you do decide to buy this, an extended warranty would be well worth the small investment.",13.0
15119,15120,This is a great bright led light. If i had any complaints it would be that its a little small...but a fantastic light and my plants love it.,8.0
15120,15121,"I had the set of 24 and went ahead and got the set of 48, even if it did mean some repeat colors. My daughter has Prismacolor Premier and I know how much she likes those (she's an artist). She told me to try the Scholar because they would probably be easier for me to use. I love them and wish they came in a bigger package. The ONLY color that they didnt come with was Gold so I ordered an individual Gold one (it came with Silver in the 48)",15.0
15121,15122,Replaced an older NETGEAR Router with this one.  Super easy to install and connect.  Works great!  Love it!!,15.0
15122,15123,"Bought this because my father in law has dementia and has gone for walks and gotten lost. We have a security system that alerts me when he opens the door, but it doesn't tell me if he comes right back in, or goes for a walk, so I needed something that lets me know if he is in the house or not. This looked like a perfect tool to keep track of him.It couldn't have been easier to set up! All you have to do is follow the directions in the setup CD. Anyone that complained about having trouble setting it up obviously didn't read/follow the directions, because it clearly says:  ""CONNECT CAMERA TO YOUR ROUTER""!!!Connecting it to your laptop will not allow it to communicate with the router!It took me about 5 minutes to have it up and working. The picture is clear, the audio is clear, and the website allows you to watch in real time. Make sure to get the My D-Link Lite app for your Android, so you can watch the camera from anywhere. I'm amazed that the website doesn't charge a subscription fee, it's awesome!The 4' power cord is long enough to have it plugged in and set the camera on top of my roll top desk, if you need a longer cord, get a cheap extension cord from Home Depot for $3.I'm going to be ordering another of these to give me another view of inside my house and one of the night vision cameras to watch the front of my house.",26.0
15123,15124,Nice looking functional stand.  Well finished (both the wood and the rubber contact areas)I paid $28 for it which I thought was a fair price.When it was delivered I thought I'd buy a couple more - but the price had increased by more than 50%The price increase coincided with the 2015 NAMM show - something I suspect that wasn't a coincidence.For the price I paid I give it 4 stars.  But I won't be buying more until the price comes down.,7.0
15124,15125,"Great, when it ACTUALLY WORKS! After having it for 7 months it keeps losing signal. I've reached my max with this monitor when it ""lost signal"" in the middle of the night and I was unable to hear my baby! I contacted the company for a replacement... Waiting to hear back. Honestly, I don't want a replacement I'd rather a refund so I can purchase a RELIABLE monitor.",13.0
15125,15126,This watch is a great value.  It looks much more expensive than it is.  It is a nice watch for everyday or for dress.,11.0
15126,15127,"I'm glad to find good dog food and treats at reasonable prices. It all arrived on time, and it's not old or expiring soon. I saved even more money by buying the food and treats together. I'm planning to continue ordering my pet food from Amazon.",11.0
15127,15128,I am getting regular dropouts in the audio. I am not sure what is causing this. I have set up surge protectors since I though the issue was caused by power surges but there is no difference. This set has no way to set the wireless channel so there is no tuning that I can do to try to improve reception.,9.0
15128,15129,"I bought this hoping it would fit my Member Mark Stockton patio set coffee table from Sams. The measurements of the table are 43""L x 25""W x 20""H and it fits perfectly. I was concerned it might not fit in which case I would simply return it, but it fits like a glove all the way to the ground. The material is very thick and feels like quality stuff. I think its worth the extra money to buy a nice cover like these to protect my investment in a patio set the best I can. Very pleased and will be purchasing more Ravenna series covers from Classic Accessories.Also, the packaging was minimal which I can really appreciate.",22.0
15129,15130,"I bought this brush set to help me clean the inside of the bottle nipples.  I used the U-shaped brush for that purpose and it worked well.  I threw it in the microwaveable bottle sterilizer after a while thinking that it needed to be sterilized.  Since the product packaging says it's dishwasher safe, I thought it would be sturdy enough withstand steam inside the microwave sterilizer....nope!  I found that the bristles had melted.  Now it is pretty much useless.  Lesson learned.",22.0
15130,15131,"So comfortable. They look like slippers, are as comfortable as slippers but they're a sandal/shoe. I have them in other colors and love wearing them",9.0
15131,15132,I bought this for my nephew and now I'm thinking to buy one for my son since I saw it's very cute...,4.0
15132,15133,What can you say?  It's a Casio.  Looks and works great.  Great price too.  Don't hesitate.  Buy it.  You won't be sorry.,22.0
